# Number of Processors    Speedup factors
1	1	1	1	1	1
2	1.546262942	1.6696644012	1.7088826271	1.7089138867	2
4	2.2680104027	3.0270993553	3.2562100063	3.2893172859	4
6	3.0388782221	4.3452825186	4.6086000489	4.6602338167	6
8	3.7658872188	5.0887485231	5.766695446	5.7717693483	8
10	3.6076344096	5.9875418835	6.6510348718	6.8006341277	10
12	4.8360247559	6.6441666831	7.4011881906	7.4882167473	12
14	4.5935396623	7.1814203842	7.7877369839	7.9746221378	14
16	4.9592466667	8.6140769231	9.8386151079	8.331105064	16
